manufacturer's name,vehicle model,Engine Displacement,YEAR,# of cylinders,transmission type,drivetrain type,city fuel efficiency (mpg),highway fuel efficency (mpg),vehicle class
audi,a4,1.8,1999,4,auto(l5),f,18,29,compact
audi,a4,1.8,1999,4,manual(m5),f,21,29,compact
audi,a4,2,2008,4,manual(m6),f,20,31,compact
audi,a4,2,2008,4,auto(av),f,21,30,compact
audi,a4,2.8,1999,6,auto(l5),f,16,26,compact
audi,a4,2.8,1999,6,manual(m5),f,18,26,compact
audi,a4,3.1,2008,6,auto(av),f,18,27,compact
audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,compact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,compact
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,compact
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,compact
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,compact
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,compact
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,compact
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,compact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,midsize
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,midsize
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,suv
chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,suv
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,suv
chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,2seater
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,2seater
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,2seater
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,2seater
chevrolet,corvette,7,2008,8,manual(m6),r,15,24,2seater
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,suv
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,suv
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,suv
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,midsize
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,midsize
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,midsize
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,midsize
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,midsize
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,minivan
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,minivan
dodge,caravan 2wd,3.3,1999,6,auto(l4),f,16,22,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,minivan
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,minivan
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,minivan
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,minivan
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,minivan
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,minivan
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,pickup
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,pickup
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,pickup
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,pickup
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,pickup
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,pickup
dodge,dakota pickup 4wd,5.2,1999,8,auto(l4),4,11,15,pickup
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,suv
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,suv
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,suv
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,pickup
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,pickup
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,pickup
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,pickup
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,pickup
ford,expedition 2wd,4.6,1999,8,auto(l4),r,11,17,suv
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,suv
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,suv
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,suv
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,suv
ford,f150 pickup 4wd,4.2,1999,6,auto(l4),4,14,17,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,pickup
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,pickup
ford,f150 pickup 4wd,4.6,1999,8,auto(l4),4,13,16,pickup
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,pickup
ford,f150 pickup 4wd,5.4,1999,8,auto(l4),4,11,15,pickup
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,pickup
ford,mustang,3.8,1999,6,manual(m5),r,18,26,subcompact
ford,mustang,3.8,1999,6,auto(l4),r,18,25,subcompact
ford,mustang,4,2008,6,manual(m5),r,17,26,subcompact
ford,mustang,4,2008,6,auto(l5),r,16,24,subcompact
ford,mustang,4.6,1999,8,auto(l4),r,15,21,subcompact
ford,mustang,4.6,1999,8,manual(m5),r,15,22,subcompact
ford,mustang,4.6,2008,8,manual(m5),r,15,23,subcompact
ford,mustang,4.6,2008,8,auto(l5),r,15,22,subcompact
ford,mustang,5.4,2008,8,manual(m6),r,14,20,subcompact
honda,civic,1.6,1999,4,manual(m5),f,28,33,subcompact
honda,civic,1.6,1999,4,auto(l4),f,24,32,subcompact
honda,civic,1.6,1999,4,manual(m5),f,25,32,subcompact
honda,civic,1.6,1999,4,manual(m5),f,23,29,subcompact
honda,civic,1.6,1999,4,auto(l4),f,24,32,subcompact
honda,civic,1.8,2008,4,manual(m5),f,26,34,subcompact
honda,civic,1.8,2008,4,auto(l5),f,25,36,subcompact
